NAME,COUNTYFP,GRID_ID,YEAR,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,AGEUNDER13_TOT,AGE1424_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT,COUNTY_AREA,POPDENSITY,POPDENSITY_MALE,POPDENSITY_FEM,Structure Arsons,Mobile Arsons,Other Arsons,Total Arsons,Total Arsons Cleared,Unemployment,medianHHI2018
Humboldt,23,3,2011,37.2,36.2,38.5,1.133516341307181,1.2907121512336832,1.9103611876489046,2.0646034228586254,0.9980347751318339,18282930068.834213,7.397227878180228,3.710893152495994,3.686334725684234,25,8,22,55,10,0.106,49471
Humboldt,23,3,2012,37.4,36.5,38.5,1.1196236009726883,1.2992447004154974,1.889029814694369,2.0067352367409357,1.0458936247093182,18282930068.834213,7.3605269775328095,3.6838187175921604,3.6767082599406486,27,9,12,48,8,0.096,49471
Humboldt,23,3,2013,37.6,36.8,38.6,1.122249000720939,1.2997916586963831,1.8769420366867986,1.9672448488610002,1.0850558376207224,18282930068.834213,7.3512833825858435,3.673590597739601,3.677692784846242,25,7,24,56,10,0.081,49471
Humboldt,23,3,2014,37.7,36.9,38.6,1.123452308938887,1.2955800799335646,1.8802237863721118,1.9209174824699955,1.1360870452273428,18282930068.834213,7.356260702941902,3.6761066058316745,3.6801540971102273,34,13,18,65,6,0.067,49471
Humboldt,23,3,2015,37.8,37.0,38.7,1.1258042295466948,1.2881414473135213,1.8963043598301466,1.885474585868613,1.1937911438607667,18282930068.834213,7.389515766419742,3.6886319504639533,3.700883815955789,49,5,13,67,10,0.056,49471
Humboldt,23,3,2016,37.9,37.2,38.8,1.130562766590399,1.2845862184877654,1.9349743102887538,1.8576891051996278,1.2466820096223978,18282930068.834213,7.454494410188944,3.719206918365454,3.7352874918234895,21,2,13,36,5,0.049,49471
Humboldt,23,3,2017,38.2,37.4,39.0,1.1261871003433146,1.2678492950926679,1.9598609120690456,1.8202224629589687,1.2922436344201629,18282930068.834213,7.466363404884159,3.7186052642564804,3.7477581406276794,43,6,16,65,14,0.042,49471
Humboldt,23,3,2018,38.5,37.8,39.3,1.1124037516649992,1.254722296351415,1.9652757990498124,1.782482341577867,1.3370942134527766,18282930068.834213,7.45197840209687,3.7076114028106812,3.744366999286189,41,3,23,67,15,0.036000000000000004,49471
Humboldt,23,3,2019,38.9,38.1,39.7,1.0888845455869212,1.244439480670767,1.9522034961366481,1.7511963279112144,1.3777332137225717,18282930068.834213,7.414457064028122,3.677802176502419,3.736654887525703,62,1,8,71,12,0.036000000000000004,49471
Humboldt,23,3,1990,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,25,12,5,42,12,0.106,49471
