FIPS,County Name,Year,Structure Arsons,Mobile Arsons,Other Arsons,Total Arsons,Total Arsons Cleared
3,Alpine,2004,0,0,0,0,0
3,Alpine,2004,0,0,0,0,0
3,Alpine,2005,0,0,0,0,0
3,Alpine,2005,0,0,0,0,0
3,Alpine,2006,0,0,0,0,0
3,Alpine,2006,0,0,0,0,0
3,Alpine,2007,0,0,0,0,0
3,Alpine,2007,0,0,0,0,0
3,Alpine,2008,0,0,0,0,0
3,Alpine,2008,0,0,0,0,0
3,Alpine,2009,0,0,0,0,0
3,Alpine,2009,0,0,0,0,0
3,Alpine,2010,0,0,0,0,0
3,Alpine,2010,0,0,0,0,0
3,Alpine,2011,0,0,0,0,0
3,Alpine,2011,0,0,0,0,0
