ID,YEAR,MONTH,DAY,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT08,WT11,WT14,WT16,WT18
USC00048025,1933,4,16,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,17,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,18,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,19,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,2,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,20,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,21,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,22,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,23,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,24,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,25,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,26,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,27,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,28,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,29,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,3,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,30,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,31,,,,,-9999.0,,,,,,,,,,,,,,,
USC00048025,1933,4,4,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,5,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,6,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,7,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,8,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,9,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,5,1,,,,,30.0,0.0,,,,,,,,,,,,,1.0,
USC00048025,1933,5,10,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,11,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,12,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,13,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,14,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,15,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,16,,,,,69.0,0.0,,,,,,,,,,,,,1.0,
USC00048025,1933,5,17,,,,,48.0,0.0,,,,,,,,,,,,,1.0,
USC00048025,1933,5,18,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,19,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,2,,,,,165.0,0.0,,,,,,,,,,,,,1.0,
USC00048025,1933,5,20,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,21,,,,,66.0,0.0,,,,,,,,,,,,,1.0,
USC00048025,1933,5,22,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,23,,,,,104.0,0.0,,,,,,,,,,,,,1.0,
USC00048025,1933,5,24,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,25,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,26,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,27,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,28,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,29,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,3,,,,,89.0,0.0,,,,,,,,,,,,,1.0,
USC00048025,1933,5,30,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,31,,,,,0.0,0.0,,,,,,,,,,,,,-9999.0,
USC00048025,1933,5,4,,,,,112.0,0.0,,,,,,,,,,,,,1.0,
USC00048025,1933,5,5,,,,,46.0,0.0,,,,,,,,,,,,,1.0,
USC00048025,1933,5,6,,,,,25.0,0.0,,,,,,,,,,,,,1.0,
USC00048025,1933,5,7,,,,,76.0,0.0,,,,,,,,,,,,,1.0,
USC00048025,1933,5,8,,,,,127.0,25.0,,,,,,,,,,,,,1.0,
USC00048025,1933,5,9,,,,,81.0,0.0,,,,,,,,,,,,,1.0,
USC00048025,1933,6,1,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,10,,,,,41.0,,,,,,,,,,,,,,,
USC00048025,1933,6,11,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,12,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,13,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,14,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,15,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,16,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,17,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,18,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,19,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,2,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,20,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,21,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,22,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,23,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,24,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,25,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,26,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,27,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,28,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,29,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,3,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,30,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,31,,,,,-9999.0,,,,,,,,,,,,,,,
USC00048025,1933,6,4,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,5,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,6,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,7,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,8,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,6,9,,,,,76.0,,,,,,,,,,,,,,,
USC00048025,1933,7,1,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,10,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,11,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,12,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,13,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,14,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,15,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,16,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,17,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,18,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,19,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,2,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,20,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,21,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,22,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,23,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,24,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,25,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,26,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,27,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,28,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,29,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,3,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,30,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,31,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,4,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,5,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,6,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,7,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,8,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,7,9,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,1,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,10,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,11,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,12,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,13,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,14,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,15,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,16,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,17,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,18,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,19,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,2,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,20,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,21,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,22,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,23,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,24,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,25,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,26,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,27,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,28,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,29,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,3,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,30,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,31,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,4,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,5,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,6,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,7,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,8,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,8,9,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,9,1,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,9,10,,,,,0.0,,,,,,,,,,,,,,,
