ID,YEAR,MONTH,DAY,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT11
USC00044405,1959,11,13,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,14,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,15,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,16,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,17,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,18,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,19,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,2,,,424.0,0.0,0.0,,,,,,,1.0,,,
USC00044405,1959,11,20,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,21,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,22,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,23,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,24,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,25,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,26,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,27,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,28,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,29,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,3,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,30,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,31,,,-9999.0,-9999.0,-9999.0,,,,,,,-9999.0,,,
USC00044405,1959,11,4,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,5,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,6,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,7,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,8,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,9,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,12,1,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,10,,,66.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,11,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,12,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,13,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,14,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,15,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,16,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,17,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,18,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,19,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,2,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,20,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,21,,,20.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,22,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,23,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,24,,,122.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,25,,,20.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,26,,,13.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,27,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,28,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,29,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,3,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,30,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,31,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,4,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,5,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,6,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,7,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,8,,,64.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,12,9,,,56.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,1,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,10,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,11,,,23.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,12,,,53.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,13,,,15.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,14,,,10.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,15,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,16,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,17,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,18,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,19,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,2,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,20,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,21,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,22,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,23,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,24,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,25,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,26,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,27,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,28,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,29,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,3,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,30,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,31,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,4,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,5,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,6,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,7,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,8,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,1,9,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,2,1,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,2,10,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,2,11,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,2,12,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,2,13,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,2,14,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,2,15,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1960,2,16,,,0.0,0.0,0.0,,,,,,,,,,
