ID,YEAR,MONTH,DAY,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT11,WT14
USC00040673,1973,5,11,0.0,0.0,0.0,306.0,78.0,183.0,,,,,,
USC00040673,1973,5,12,0.0,0.0,0.0,261.0,83.0,178.0,,,,,,
USC00040673,1973,5,13,0.0,0.0,0.0,267.0,89.0,206.0,,,,,,
USC00040673,1973,5,14,0.0,0.0,0.0,206.0,100.0,183.0,,,,,,
USC00040673,1973,5,15,0.0,0.0,0.0,233.0,89.0,194.0,,,,,,
USC00040673,1973,5,16,0.0,0.0,0.0,317.0,72.0,261.0,,,,,,
USC00040673,1973,5,17,0.0,0.0,0.0,350.0,94.0,278.0,,,,,,
USC00040673,1973,5,18,0.0,0.0,0.0,283.0,83.0,200.0,,,,,,
USC00040673,1973,5,19,0.0,0.0,0.0,222.0,106.0,189.0,,,,,,
USC00040673,1973,5,2,0.0,0.0,0.0,267.0,28.0,211.0,,,,,,
USC00040673,1973,5,20,0.0,0.0,0.0,217.0,56.0,172.0,,,,,,
USC00040673,1973,5,21,0.0,0.0,0.0,206.0,78.0,167.0,,,,,,
USC00040673,1973,5,22,0.0,0.0,0.0,239.0,94.0,211.0,,,,,,
USC00040673,1973,5,23,0.0,0.0,0.0,272.0,100.0,211.0,,,,,,
USC00040673,1973,5,24,0.0,0.0,0.0,250.0,117.0,200.0,,,,,,
USC00040673,1973,5,25,0.0,0.0,0.0,233.0,100.0,161.0,,,,,,
USC00040673,1973,5,26,0.0,0.0,0.0,261.0,44.0,222.0,,,,,,
USC00040673,1973,5,27,0.0,0.0,0.0,322.0,67.0,272.0,,,,,,
USC00040673,1973,5,28,0.0,0.0,0.0,389.0,100.0,361.0,,,,,,
USC00040673,1973,5,29,0.0,0.0,0.0,361.0,128.0,256.0,,,,,,
USC00040673,1973,5,3,0.0,0.0,0.0,267.0,56.0,178.0,,,,,,
USC00040673,1973,5,30,0.0,0.0,0.0,256.0,117.0,156.0,,,,,,
USC00040673,1973,5,31,0.0,0.0,0.0,167.0,106.0,139.0,,,,,,
USC00040673,1973,5,4,0.0,0.0,0.0,189.0,78.0,122.0,,,,,,
USC00040673,1973,5,5,0.0,0.0,0.0,233.0,44.0,167.0,,,,,,
USC00040673,1973,5,6,0.0,0.0,0.0,228.0,83.0,156.0,,,,,,
USC00040673,1973,5,7,0.0,0.0,0.0,239.0,50.0,167.0,,,,,,
USC00040673,1973,5,8,0.0,0.0,0.0,283.0,39.0,228.0,,,,,,
USC00040673,1973,5,9,0.0,0.0,0.0,294.0,33.0,239.0,,,,,,
USC00040673,1973,6,1,0.0,0.0,0.0,250.0,117.0,211.0,,,,,,
USC00040673,1973,6,10,0.0,0.0,0.0,289.0,94.0,183.0,,,,,,
USC00040673,1973,6,11,0.0,0.0,0.0,222.0,100.0,194.0,,,,,,
USC00040673,1973,6,12,0.0,0.0,0.0,311.0,83.0,250.0,,,,,,
USC00040673,1973,6,13,0.0,0.0,0.0,250.0,89.0,167.0,,,,,,
USC00040673,1973,6,14,0.0,0.0,0.0,200.0,89.0,167.0,,,,,,
USC00040673,1973,6,15,0.0,0.0,0.0,239.0,78.0,156.0,,,,,,
USC00040673,1973,6,16,0.0,0.0,0.0,267.0,106.0,194.0,,,,,,
USC00040673,1973,6,17,0.0,0.0,0.0,261.0,94.0,206.0,,,,,,
USC00040673,1973,6,18,0.0,0.0,0.0,333.0,39.0,306.0,,,,,,
USC00040673,1973,6,19,0.0,0.0,0.0,394.0,83.0,350.0,,,,,,
USC00040673,1973,6,2,0.0,0.0,0.0,244.0,100.0,200.0,,,,,,
USC00040673,1973,6,20,0.0,0.0,0.0,417.0,89.0,394.0,,,,,,
USC00040673,1973,6,21,0.0,0.0,0.0,417.0,133.0,294.0,,,,,,
USC00040673,1973,6,22,0.0,0.0,0.0,317.0,106.0,267.0,,,,,,
USC00040673,1973,6,23,0.0,0.0,0.0,294.0,100.0,239.0,,,,,,
USC00040673,1973,6,24,0.0,0.0,0.0,333.0,100.0,289.0,,,,,,
USC00040673,1973,6,25,0.0,0.0,0.0,383.0,111.0,322.0,,,,,,
USC00040673,1973,6,26,0.0,0.0,0.0,417.0,150.0,239.0,,,,,,
USC00040673,1973,6,27,0.0,0.0,0.0,294.0,133.0,228.0,,,,,,
USC00040673,1973,6,28,0.0,0.0,0.0,306.0,111.0,256.0,,,,,,
USC00040673,1973,6,29,0.0,0.0,0.0,294.0,89.0,267.0,,,,,,
USC00040673,1973,6,3,0.0,0.0,0.0,239.0,106.0,200.0,,,,,,
USC00040673,1973,6,30,0.0,0.0,0.0,283.0,67.0,256.0,,,,,,
USC00040673,1973,6,31,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
USC00040673,1973,6,4,0.0,0.0,0.0,261.0,100.0,206.0,,,,,,
USC00040673,1973,6,5,0.0,0.0,0.0,344.0,94.0,250.0,,,,,,
USC00040673,1973,6,6,0.0,0.0,0.0,406.0,106.0,361.0,,,,,,
USC00040673,1973,6,7,0.0,0.0,0.0,406.0,94.0,356.0,,,,,,
USC00040673,1973,6,8,0.0,0.0,0.0,422.0,122.0,350.0,,,,,,
USC00040673,1973,6,9,0.0,0.0,0.0,350.0,122.0,289.0,,,,,,
USC00040673,1973,7,1,0.0,0.0,0.0,278.0,61.0,239.0,,,,,,
USC00040673,1973,7,10,0.0,0.0,0.0,322.0,83.0,283.0,,,,,,
USC00040673,1973,7,11,0.0,0.0,0.0,283.0,83.0,200.0,,,,,,
USC00040673,1973,7,12,0.0,0.0,0.0,261.0,78.0,194.0,,,,,,
USC00040673,1973,7,13,0.0,0.0,0.0,222.0,100.0,189.0,,,,,,
USC00040673,1973,7,14,0.0,0.0,0.0,200.0,83.0,178.0,,,,,,
USC00040673,1973,7,15,0.0,0.0,0.0,228.0,111.0,183.0,,,,,,
USC00040673,1973,7,16,0.0,0.0,0.0,233.0,122.0,183.0,,,,,,
USC00040673,1973,7,17,0.0,0.0,0.0,233.0,128.0,194.0,,,,,,
USC00040673,1973,7,18,0.0,0.0,0.0,233.0,122.0,189.0,,,,,,
USC00040673,1973,7,19,0.0,0.0,0.0,244.0,122.0,200.0,,,,,,
USC00040673,1973,7,2,0.0,0.0,0.0,300.0,56.0,261.0,,,,,,
USC00040673,1973,7,20,0.0,0.0,0.0,256.0,128.0,200.0,,,,,,
USC00040673,1973,7,21,0.0,0.0,0.0,278.0,89.0,250.0,,,,,,
USC00040673,1973,7,22,0.0,0.0,0.0,311.0,94.0,222.0,,,,,,
USC00040673,1973,7,23,0.0,0.0,0.0,289.0,56.0,250.0,,,,,,
USC00040673,1973,7,24,0.0,0.0,0.0,356.0,61.0,322.0,,,,,,
USC00040673,1973,7,25,0.0,0.0,0.0,422.0,100.0,383.0,,,,,,
USC00040673,1973,7,26,0.0,0.0,0.0,383.0,111.0,244.0,,,,,,
USC00040673,1973,7,27,0.0,0.0,0.0,283.0,111.0,217.0,,,,,,
USC00040673,1973,7,28,0.0,0.0,0.0,272.0,122.0,228.0,,,,,,
USC00040673,1973,7,29,0.0,0.0,0.0,300.0,111.0,250.0,,,,,,
USC00040673,1973,7,3,0.0,0.0,0.0,322.0,56.0,256.0,,,,,,
USC00040673,1973,7,30,0.0,0.0,0.0,306.0,122.0,250.0,,,,,,
USC00040673,1973,7,31,0.0,0.0,0.0,356.0,100.0,306.0,,,,,,
USC00040673,1973,7,4,0.0,0.0,0.0,406.0,78.0,367.0,,,,,,
USC00040673,1973,7,5,0.0,0.0,0.0,367.0,111.0,261.0,,,,,,
USC00040673,1973,7,6,0.0,0.0,0.0,300.0,61.0,228.0,,,,,,
USC00040673,1973,7,7,0.0,0.0,0.0,261.0,67.0,244.0,,,,,,
USC00040673,1973,7,8,0.0,0.0,0.0,311.0,67.0,267.0,,,,,,
